direction,demo_sample,source_accent,target_accent,sample_group_id,source_id,source_speaker_id,utterance_id,transcript,phonos_item_id,phonos_checkpoint,phonos_target_ref_id,phonos_nisqa_mos,phonos_accent_prediction,phonos_target_probability_pct,demo_original_audio,demo_converted_audio,original_duration_sec,converted_duration_sec,original_sha256,converted_sha256
ame2spn,1,General American English,Spanish-accented English,ame2spn_S04,AME012,1089,1089-134686-0025,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION,ame2spn::AME012::r6_epoch05::NJS,r6_epoch05,NJS,4.217363,north_american,9.6586599946022,audio/ame2spn/sample_01_original.wav,audio/ame2spn/sample_01_phonos.wav,6.610,6.620,08844bfb979ce8240f332032a4b86bed89703dcdb0379087e9747db278eb60dd,7011c6b481fbcc96844e5fb59f3c5a02bc1ded3195882e3098f60e6f35ea4a5e
ame2spn,2,General American English,Spanish-accented English,ame2spn_S03,AME007,7729,7729-102255-0019,TO EMBARRASS THIS DAMAGING EXPOSURE JUDGE LECOMPTE ISSUED A WRIT AGAINST THE EX GOVERNOR ON A FRIVOLOUS CHARGE OF CONTEMPT,ame2spn::AME007::r6_epoch05::ERMS,r6_epoch05,ERMS,4.0548773,north_american,4.55765910446643,audio/ame2spn/sample_02_original.wav,audio/ame2spn/sample_02_phonos.wav,8.930,8.940,bf8183741a4e62deb5888a92dd43e8253ec311d0d1ae61506179988e82ae6a25,24d3ca3def49794a27d6de40fe88568f7f6e3ee51e91ef9b708243c1b6705000
ame2spn,3,General American English,Spanish-accented English,ame2spn_S02,AME015,3575,3575-170457-0003,SURELY IT MUST BE BECAUSE WE ARE IN DANGER OF LOVING EACH OTHER TOO WELL OF LOSING SIGHT OF THE CREATOR IN IDOLATRY OF THE CREATURE,ame2spn::AME015::r6_epoch05::EBVS,r6_epoch05,EBVS,4.027651,north_american,15.59903919696808,audio/ame2spn/sample_03_original.wav,audio/ame2spn/sample_03_phonos.wav,7.595,7.600,0c75735b2969913a03107b955c97b09c35d7da60d4f0fd28958491d38248385f,2d8e90fab20ac4c31c234d969e4be0234887e6e790fb7abb38f256830f87f477
ame2spn,4,General American English,Spanish-accented English,ame2spn_S08,AME027,1320,1320-122617-0019,UNCAS OCCUPIED A DISTANT CORNER IN A RECLINING ATTITUDE BEING RIGIDLY BOUND BOTH HANDS AND FEET BY STRONG AND PAINFUL WITHES,ame2spn::AME027::r6_epoch05::NJS,r6_epoch05,NJS,4.020086,north_american,4.11798022687435,audio/ame2spn/sample_04_original.wav,audio/ame2spn/sample_04_phonos.wav,8.230,8.240,b32d2f28c39ad5e98d4b1ed30b4d06e1a03de5ee0e08f61bbe988868a123d173,a06b92ce0f574d016907a23da4bfc32e52eb67dd0f68b6a6e0502391799004da
ame2spn,5,General American English,Spanish-accented English,ame2spn_S07,AME021,3170,3170-137482-0025,THEY DID NOT KNOW WHO I WAS AND DID NOT LIKE TO ASK ME WHILST I THOUGHT IT BETTER TO PRESERVE A MODEST SILENCE,ame2spn::AME021::r6_epoch05::EBVS,r6_epoch05,EBVS,3.9109397,north_american,14.775426685810087,audio/ame2spn/sample_05_original.wav,audio/ame2spn/sample_05_phonos.wav,7.445,7.460,5dc4b7835c7204fe1c084a01f72a23c3b1d2402abf21cd7f1a1db677434b1094,43416b89a83a0d7908a65cf255aeffeb79dbde21dfe1a84bf0e73c4cf70a77f3
bri2ame,1,British English,General American English,bri2ame_S04,BRE046,m_01523,som_01523_00399822145,THEY WROTE VIOLENT CASES SIGNAL TO NOISE AND THE TRAGICAL COMEDY OR COMICAL TRAGEDY OF MISTER PUNCH,bri2ame::BRE046::r3_epoch06::SLT,r3_epoch06,SLT,4.8055534,australasian,0.18442427972331,audio/bri2ame/sample_01_original.wav,audio/bri2ame/sample_01_phonos.wav,7.424,7.440,712f698d7858596128a427e598a244ac0ac7a1d512c9a3bb77a8cbef12aaad55,528e1fb76bac98f93eedcd9a5dbed75be4e35c145bc9bc5a2b7bc11681bcab17
bri2ame,2,British English,General American English,bri2ame_S02,BRE002,f_08886,sof_08886_00875597339,JASMINE AND AIM VISITED CIARA AND OLIVER IN ST HELENS,bri2ame::BRE002::r6_epoch05::SLT,r6_epoch05,SLT,4.8020115,australasian,5.04335239529609,audio/bri2ame/sample_02_original.wav,audio/bri2ame/sample_02_phonos.wav,5.632,5.640,cbab3a780701725b92c95d32a9d3cf2e55d31c18a173204c2c8c24a6310dc26c,d484c112309905d75dae39795f04f969b7d18fd463a3659e150f656ca5f76a71
bri2ame,3,British English,General American English,bri2ame_S01,BRE001,f_02121,sof_02121_00159249525,MONTY PYTHON AND THE HOLY GRAIL IS SLAPSTICK COMEDY FILM CONCERNING THE ARTHURIAN LEGEND,bri2ame::BRE001::r1_epoch13::SLT,r1_epoch13,SLT,4.738324,australasian,0.17022085376083,audio/bri2ame/sample_03_original.wav,audio/bri2ame/sample_03_phonos.wav,5.803,5.820,043e013561ea3154c38252de0689129584b2290a7ce5f34eb62a1c2d385af237,6acfa6977294121d15d49405933cde96b1daa83b1d2a837b9fb9daa9b1f8d412
bri2ame,4,British English,General American English,bri2ame_S09,BRE024,m_09799,som_09799_01678717770,MAINTAINING THE RATIO THERE WERE SIX WINDOWS DOWN EACH SIDE AND TWO AT EITHER END,bri2ame::BRE024::r1_epoch13::SLT,r1_epoch13,SLT,4.7118797,australasian,0.2190144732594399,audio/bri2ame/sample_04_original.wav,audio/bri2ame/sample_04_phonos.wav,5.547,5.560,57806cbd67b20050d26961ea961710a65008daec4e3863ff55fc1a36581e7145,c4f3246d77e28500c04021f11f3fd7c5fd0f4c16dfbd77c72067b0400828c700
bri2ame,5,British English,General American English,bri2ame_S07,BRE053,f_06136,sof_06136_00152649904,ARISTOTLE THOUGHT THAT THE RAINBOW WAS CAUSED BY REFLECTION OF THE SUN S RAYS BY THE RAIN,bri2ame::BRE053::r1_epoch13::SLT,r1_epoch13,SLT,4.7038126,british_isles,7.32951238751411,audio/bri2ame/sample_05_original.wav,audio/bri2ame/sample_05_phonos.wav,5.973,5.980,bf28b1463edc197217248b2d998af8e6654544750c5bd86e2f80eef9a15eb93b,87ac1fd3d2dc1be4c773c185c99ed3b5b9b62eeb1f4f466f3d71a696828c2881
ind2ame,1,Indian English,General American English,ind2ame_S05,INE014,S_021107,00161295_000010.v2.vad,a mailman poses with his cart in front of a residential building.,ind2ame::INE014::r1_epoch13::SLT,r1_epoch13,SLT,4.771804,north_american,47.41563498973846,audio/ind2ame/sample_01_original.wav,audio/ind2ame/sample_01_phonos.wav,5.724,5.740,2378c6cb12b065b7c59febd16c87241843a887b37f59239327c94f8805f6d693,18766463a8350e11294de331393a97328b4447812efa0d1b12b5bc9917bb04b0
ind2ame,2,Indian English,General American English,ind2ame_S04,INE011,S_000224,00451058_000012.v2.vad,the number of archived stories quickly exploded from hundreds to thousands.,ind2ame::INE011::r1_epoch13::SLT,r1_epoch13,SLT,4.724655,north_american,51.82972550392151,audio/ind2ame/sample_02_original.wav,audio/ind2ame/sample_02_phonos.wav,5.052,5.060,8d248fd1f5d032230dd308c4c6de2eae3bb0ac68ed69f934edd63b60024b6528,f11b83f655a355f944b4fce500ca94d103cdf47d276fdd66595404b401a728b4
ind2ame,3,Indian English,General American English,ind2ame_S01,INE003,S_006449,00386629_000010.v2.vad,quill pens are still used today mainly by professional scribes and calligraphers.,ind2ame::INE003::r1_epoch13::SLT,r1_epoch13,SLT,4.712494,north_american,47.78246879577636,audio/ind2ame/sample_03_original.wav,audio/ind2ame/sample_03_phonos.wav,5.276,5.280,38e73fe2af2db11ea52ab40d315d9ef411c170a9fa741ae5dd96b64542a02476,7d4a845b226836e78435e7c9eefbe7d4204c5a932f7efcca87c2eb7f134e0bd0
ind2ame,4,Indian English,General American English,ind2ame_S03,INE045,S_013550,00289817_000011.v2.vad,the issuance of a tornado warning indicates that residents should take immediate safety precautions.,ind2ame::INE045::r1_epoch13::SLT,r1_epoch13,SLT,4.6858974,north_american,51.77318453788757,audio/ind2ame/sample_04_original.wav,audio/ind2ame/sample_04_phonos.wav,6.204,6.220,c0ffc14dd1b48f44af382639b64b468cf935fd09cda4710a8ac5ed93618e3854,8fc3d5c59a3672e5fca4c1456dc25e6e97bb351489ebd99346faf937b01f79ad
ind2ame,5,Indian English,General American English,ind2ame_S08,INE023,S_008532,00469932_000036.v2.vad,"his chief characteristics are extreme refinement and charm, poetic sentiment, and beauty of surface.",ind2ame::INE023::r6_epoch05::RMS,r6_epoch05,RMS,4.454605,north_american,67.50439405441284,audio/ind2ame/sample_05_original.wav,audio/ind2ame/sample_05_phonos.wav,6.364,6.380,d9baa65e01b1d87646de829b552341d704f4365dd681c10ccb49a0af0db08380,0145d3277c1c9526dc83286c0ce7271ea99be5e0a7267b08a45a5bbb51ded702
spn2ame,1,Spanish-accented English,General American English,spn2ame_S01,SPE002,EN_HfWbNslGHCI_SPEAKER_00,EN_HfWbNslGHCI_W000005,AS YOU CAN SEE SOFIT IS THE CURRENT LAYER BUT IF WE USE A DIMENSION,spn2ame::SPE002::r1_epoch13::SLT,r1_epoch13,SLT,4.7332344,north_american,31.76197111606598,audio/spn2ame/sample_01_original.wav,audio/spn2ame/sample_01_phonos.wav,5.535,5.540,76b6c64fadb27e9d97222e4c0e257f8b509cc0c7d3c646b9d08577280865f066,870ca5e174e8d235713798e2dc523c3a72481e631d526c4783fe62926a6fe0df
spn2ame,2,Spanish-accented English,General American English,spn2ame_S05,SPE018,EN_-wK9F2th9T0_SPEAKER_03,EN_-wK9F2th9T0_W000069,AND I THOUGHT THIS DETAIL WOULD BE INTERESTING TO SHOW AND I GOT QUITE A LOT OF RESPONSE,spn2ame::SPE018::r1_epoch13::SLT,r1_epoch13,SLT,4.7042713,north_american,22.120001912117,audio/spn2ame/sample_02_original.wav,audio/spn2ame/sample_02_phonos.wav,6.028,6.040,32e9ba0c27262c8cb08926b7fbe1146e8379e8ed866caaae3276b367f18af2ef,510bd972b28766be3d254c34e054ad0e39e5333114fb25e8dca7787b84d8e545
spn2ame,3,Spanish-accented English,General American English,spn2ame_S06,SPE017,EN_7vGQLMaLmcQ_SPEAKER_00,EN_7vGQLMaLmcQ_W000001_0001,project is about sustainable food in nursery schools in spain,spn2ame::SPE017::r3_epoch06::SLT,r3_epoch06,SLT,4.6963177,north_american,72.2236692905426,audio/spn2ame/sample_03_original.wav,audio/spn2ame/sample_03_phonos.wav,5.300,5.300,1e7e72bde6f57a86a09c3da4435984c4365f1c26b128bbe3a33476e134c1831a,9e60c522be4622bdfc092c9f1540fea74691cee40f1f2e1910ba6cb8290e1fcf
spn2ame,4,Spanish-accented English,General American English,spn2ame_S04,SPE011,EN_3pDr2_ksVj0_SPEAKER_01,EN_3pDr2_ksVj0_W000053,THE REQUEST WILL COME TO THE ROUTER RIGHT AND THEN THE ROUTER WILL SAY OH THIS IS A NEW SESSION I NEED TO SEND THIS TO THE QUEUE,spn2ame::SPE011::r1_epoch13::SLT,r1_epoch13,SLT,4.634283,north_american,62.72910237312317,audio/spn2ame/sample_04_original.wav,audio/spn2ame/sample_04_phonos.wav,8.115,8.120,2567ce0b41260d2c81416e9f7dd5cde796633bbb6cddaa07adbb782a11a9be6f,63e4536d17143f437fa0a37c2f414c2ed37123a21328c13e84d981518bc380f9
spn2ame,5,Spanish-accented English,General American English,spn2ame_S09,SPE056,EN_xHHTlxYqRs4_SPEAKER_00,EN_xHHTlxYqRs4_W000012,IT EXACERBATES STIGMA PREJUDICE AND STEREOTYPES BUT NOTICE VOICES BETTER,spn2ame::SPE056::r1_epoch13::SLT,r1_epoch13,SLT,4.5104537,north_american,62.72075772285461,audio/spn2ame/sample_05_original.wav,audio/spn2ame/sample_05_phonos.wav,5.739,5.740,c75e1028f819160de434c7e1e7618117f1de25b64306ee09975961395997ebc7,6d4d2bd96197f2d3528f850d4ba9e6f3e86066f1f344822790cfcf11acb00088
